#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	43.32	9.82	43.32	19.83	-4.00	-10000	1	-16.84	0.551	-4.38	-56.79	-100.00	-21.77	-10000	-10000	
-10000	-10000	43.23	11.70	43.23	18.34	-10000	-10000	1	-15.91	0.501	-14.45	-56.44	-100.00	-30.36	-10000	-10000	
-10000	-10000	39.91	13.03	39.90	15.77	-11.76	-10000	1	-12.69	0.583	-6.97	-62.13	-100.00	-23.83	-10000	-10000	
64.52	0.497	37.73	14.10	37.71	16.50	-13.22	-10000	1	-13.40	0.462	-4.67	-56.97	-100.00	-25.38	-10000	-10000	
-10000	-10000	37.14	12.45	37.13	18.18	-15.93	-10000	1	-13.09	0.421	-11.20	-54.02	-100.00	-30.47	-10000	-10000	
-10000	-10000	37.08	18.87	37.01	23.17	-10000	-10000	1	-13.74	0.535	-21.18	-52.84	-100.00	-38.33	-10000	-10000	
-10000	-10000	39.62	22.31	39.54	25.57	-3.74	-10000	1	-10.49	0.464	-16.68	-47.97	-100.00	-31.10	-10000	-10000	
-10000	-10000	41.68	33.46	40.97	34.42	-10000	-10000	0	2.89	0.738	-22.07	-51.55	0.37	-19.18	-10000	-10000	
-10000	-10000	43.42	40.33	40.48	40.93	-10000	-10000	0	-1.77	0.507	-16.13	-34.06	-100.00	-17.90	-10000	-10000	
262.30	0.763	47.27	44.19	44.32	43.84	38.42	280.57	12	-4.00	0.625	-4.36	-35.90	-100.00	-8.36	61.21	-10000	
266.67	0.834	50.07	47.70	46.32	47.40	39.48	266.66	12	-6.72	0.518	-3.24	-27.98	-100.00	-9.96	60.33	-10000	
266.67	0.858	51.02	47.89	48.12	47.41	41.89	271.16	12	-5.25	0.651	-3.31	-33.58	-100.00	-8.56	60.62	-10000	
271.19	0.912	51.43	47.72	49.02	46.45	43.81	271.16	12	1.76	0.692	-4.17	-36.71	-100.00	-2.41	60.62	3.77	
271.19	0.908	49.28	47.50	44.54	45.93	44.60	275.75	13	5.02	0.703	-1.90	-37.86	-100.00	-0.08	60.91	13.96	
271.19	0.821	45.02	42.96	40.80	40.97	40.68	275.75	12	4.29	0.675	-10000	-41.26	-100.00	3.77	60.91	-10000	
-10000	-10000	35.36	32.99	31.60	31.11	30.30	262.23	12	2.96	0.684	-4.40	-51.61	-100.00	-1.44	60.04	-10000	
-10000	-10000	9.06	8.04	2.26	8.24	-10000	-10000	1	-0.26	0.883	-13.36	-91.74	-100.00	-13.63	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-44.41	-51.07	-45.50	-49.37	-10000	-10000	1	1.06	0.957	-10000	-166.74	-100.00	-0.44	-10000	-10000	
-10000	-10000	28.88	26.09	25.64	25.94	15.87	-10000	5	-3.03	0.764	-24.59	-61.85	-100.00	-27.62	-10000	-10000	
-10000	-10000	36.57	33.50	33.62	33.70	6.16	-10000	0	-1.11	0.711	-27.65	-50.57	-100.00	-28.75	-10000	-10000	
-10000	-10000	34.12	31.36	30.85	30.18	25.56	363.43	12	-1.97	0.451	-17.54	-42.94	-100.00	-19.51	65.69	-10000	
333.33	0.801	37.96	35.95	33.63	32.29	34.07	340.27	12	7.06	0.692	-10000	-50.87	-100.00	7.06	64.55	-10000	
340.43	0.914	45.72	43.77	41.30	42.22	39.74	333.27	13	-0.81	0.727	-10000	-43.04	-100.00	-0.81	64.19	-10000	
340.43	0.952	50.03	47.09	46.95	46.84	41.17	340.27	13	-3.48	0.724	-10000	-42.09	-100.00	-3.48	64.55	19.56	
340.43	0.953	52.27	49.02	49.49	49.34	41.04	340.27	13	-7.66	0.741	-0.70	-48.94	-100.00	-8.36	64.55	15.42	
347.83	0.928	51.04	48.33	47.70	48.56	39.90	347.82	13	-9.11	0.740	-10000	-40.85	-100.00	-9.11	64.93	4.79	
347.83	0.875	45.52	43.24	41.63	43.34	36.94	355.54	13	-4.71	0.658	-10000	-38.00	-100.00	-4.71	65.31	4.34	
347.83	0.785	42.55	41.43	36.11	41.38	34.82	340.27	12	-1.53	0.472	-10000	-32.42	-100.00	-1.53	64.55	3.71	
340.43	0.904	48.08	46.89	41.85	47.03	40.15	340.27	13	-3.93	0.656	-1.81	-47.40	-100.00	-5.74	64.55	9.85	
347.83	0.832	52.37	50.95	46.82	51.39	44.73	347.82	13	-3.94	0.659	-7.49	-43.93	-100.00	-11.44	64.93	1.72	
347.83	0.834	57.60	56.75	50.14	56.27	51.13	347.82	13	-2.65	0.623	-12.94	-35.84	-100.00	-15.59	64.93	-1.08	
347.83	0.916	60.77	60.10	52.33	58.71	55.94	355.54	13	0.68	0.625	-21.49	-30.94	-100.00	-20.81	65.31	-2.65	
347.83	0.900	60.09	59.62	50.21	55.30	57.98	347.82	13	6.49	0.647	-27.57	-42.32	-100.00	-21.08	64.93	-4.42	
347.83	0.894	57.77	57.28	48.04	50.89	56.34	347.82	13	10.65	0.666	-28.43	-34.95	-100.00	-17.78	64.93	-5.61	
347.83	0.886	55.00	54.19	47.27	43.23	54.12	347.82	13	8.40	0.705	-25.30	-42.88	-100.00	-16.90	64.93	-10.73	
347.83	0.894	51.54	50.65	44.21	45.96	49.36	347.82	13	6.91	0.681	-21.81	-58.01	-100.00	-14.90	64.93	0.37	
347.83	0.879	46.56	45.54	39.78	42.36	43.16	347.82	13	3.07	0.781	-13.09	-54.01	-100.00	-10.02	64.93	-10000	
-10000	-10000	38.52	36.65	33.95	34.02	33.81	355.54	13	6.96	0.805	-36.73	-57.08	-100.00	-29.77	65.31	-10000	
-10000	-10000	26.07	21.33	24.29	18.06	19.03	-10000	1	12.29	0.474	-25.04	-55.81	-100.00	-12.75	-10000	-10000	
-10000	-10000	25.07	18.87	23.88	16.51	16.23	-10000	1	11.09	0.568	-15.88	-60.78	-100.00	-4.79	-10000	-10000	
-10000	-10000	36.38	33.08	33.64	30.10	30.65	340.27	13	7.82	0.777	-22.25	-58.67	-100.00	-14.43	64.55	-10000	
340.43	0.861	47.25	45.63	42.18	43.56	42.58	347.82	13	5.22	0.769	-8.36	-44.60	-100.00	-3.14	64.93	-10000	
340.43	0.939	54.56	53.51	47.85	51.41	50.11	340.27	13	2.31	0.798	-13.17	-49.96	-100.00	-10.87	64.55	-4.62	
340.43	0.906	57.96	56.87	51.44	54.40	54.05	340.27	13	2.35	0.757	-17.65	-66.05	-100.00	-15.29	64.55	-1.21	
340.43	0.950	59.79	57.36	56.11	56.03	54.31	340.27	13	1.16	0.790	-16.81	-33.79	-100.00	-15.64	64.55	-0.91	
340.43	0.897	58.39	55.93	54.75	54.45	52.70	340.27	13	3.45	0.772	-13.24	-38.24	-100.00	-9.79	64.55	1.47	
340.43	0.940	56.64	55.06	51.51	53.25	51.33	340.27	13	6.43	0.765	-13.04	-51.68	-100.00	-6.61	64.55	2.28	
340.43	0.928	54.03	52.83	47.83	49.60	50.23	340.27	13	12.19	0.713	-11.28	-54.74	-100.00	0.91	64.55	3.98	
340.43	0.903	48.62	47.60	41.83	39.51	46.93	347.82	13	15.50	0.754	-5.77	-48.13	-100.00	9.08	64.93	6.91	
347.83	0.904	41.86	41.38	32.09	29.88	41.12	347.82	13	15.86	0.646	-10000	-60.19	-100.00	15.86	64.93	8.85	
347.83	0.977	41.59	41.19	31.06	29.84	40.91	347.82	13	17.63	0.677	-10000	-55.55	-100.00	17.63	64.93	7.72	
347.83	0.984	42.80	41.61	36.61	30.31	41.31	347.82	13	17.89	0.501	-10000	-46.15	-100.00	17.89	64.93	-4.22	
347.83	0.980	43.42	41.87	38.20	29.90	41.65	347.82	13	15.96	0.586	-10000	-70.38	-100.00	15.96	64.93	-2.20	
347.83	0.951	43.41	42.31	36.92	31.03	42.04	347.82	13	15.38	0.535	-10000	-61.76	-100.00	15.38	64.93	2.54	
355.56	0.893	47.19	44.46	43.87	44.78	42.48	340.27	12	3.44	0.580	-10000	-33.00	-100.00	3.44	64.55	6.71	
355.56	0.897	53.88	45.98	53.12	53.08	42.78	347.82	13	-8.56	0.619	-10000	-26.80	-100.00	-8.56	64.93	12.89	
355.56	0.925	53.79	42.77	53.43	51.78	42.16	355.54	13	-7.79	0.516	-10000	-40.52	-100.00	-7.79	65.31	18.73	
355.56	0.923	52.42	41.39	52.06	49.45	41.05	355.54	13	-7.15	0.603	-10000	-46.56	-100.00	-7.15	65.31	24.41	
355.56	0.855	47.96	38.49	47.44	43.59	38.19	363.43	13	-2.82	0.656	-10000	-37.65	-100.00	-2.82	65.69	19.57	
355.56	0.734	38.63	33.54	37.02	32.79	33.05	363.43	12	7.03	0.418	-10000	-40.43	-100.00	7.03	65.69	-10000	
-10000	-10000	30.14	29.62	20.66	26.06	27.43	355.54	13	5.96	0.735	-9.03	-59.72	-100.00	-3.07	65.31	-10000	
-10000	-10000	18.19	17.79	7.67	17.19	9.65	-10000	1	-1.15	0.862	-0.54	-79.92	-100.00	-1.69	-10000	-10000	
-10000	-10000	-41.80	-43.31	-47.19	-43.01	-10000	-10000	1	0.20	0.567	-0.91	-130.95	-100.00	-0.71	-10000	-10000	
-10000	-10000	-72.64	-79.92	-73.53	-90.00	-10000	-10000	1	-6.46	-1.000	-0.24	-152.71	-100.00	-21.66	-10000	-10000	
-10000	-10000	15.35	13.15	11.36	13.78	-10000	-10000	1	-0.62	0.848	-12.06	-81.65	-100.00	-17.95	-10000	-10000	
-10000	-10000	34.02	29.99	31.84	31.11	14.81	-10000	0	-2.00	0.661	-13.51	-50.39	-100.00	-18.46	-10000	-10000	
-10000	-10000	48.09	47.20	40.79	44.58	44.75	355.54	13	4.79	0.663	-35.90	-37.02	-100.00	-31.12	65.31	-10000	
355.56	0.900	55.48	54.22	49.47	52.66	51.23	355.54	13	1.69	0.571	-15.02	-43.47	-100.00	-13.33	65.31	-10000	
355.56	0.933	58.30	56.84	52.85	55.78	53.02	355.54	13	-0.96	0.579	-16.05	-52.63	-100.00	-17.02	65.31	0.00	
355.56	0.910	59.73	57.97	54.95	56.69	54.30	355.54	13	-0.26	0.610	-18.98	-48.24	-100.00	-19.24	65.31	-6.59	
355.56	0.874	60.72	58.73	56.37	57.37	55.08	355.54	13	0.91	0.644	-20.80	-31.72	-100.00	-19.88	65.31	-12.48	
355.56	0.847	61.71	59.61	57.54	58.74	55.00	355.54	13	-0.19	0.642	-20.55	-26.08	-100.00	-20.75	65.31	-18.27	
347.83	0.850	61.81	59.61	57.81	53.76	59.31	347.82	13	-3.60	0.652	-20.54	-31.25	-100.00	-24.14	64.93	-22.61	
340.43	0.835	60.62	58.30	56.78	53.47	58.06	340.27	13	-4.46	0.676	-20.06	-40.02	-100.00	-24.52	64.55	-27.21	
340.43	0.852	58.62	55.93	55.27	54.18	54.84	333.27	13	-1.85	0.674	-19.42	-44.65	-100.00	-21.28	64.19	-30.30	
333.33	0.872	56.97	54.47	53.39	55.49	47.57	333.27	13	-4.43	0.745	-16.32	-37.20	-100.00	-20.75	64.19	-27.77	
326.53	0.867	55.92	52.87	52.94	54.98	44.74	326.41	13	-6.28	0.802	-12.57	-41.39	-100.00	-18.84	63.83	-24.75	
320.00	0.876	54.60	49.67	52.91	53.63	42.82	319.87	13	-6.89	0.838	-8.80	-44.52	-100.00	-15.69	63.48	-23.77	
313.73	0.848	54.20	44.42	53.72	52.23	39.94	313.65	13	-10.36	0.835	-7.28	-41.78	-100.00	-17.64	63.14	-33.86	
307.69	0.854	54.29	38.34	54.18	51.33	35.78	307.55	13	-13.80	0.795	-3.16	-38.90	-100.00	-16.96	62.80	-31.52	
313.73	0.821	50.35	35.26	50.21	46.10	33.11	307.55	13	-12.09	0.751	-10000	-58.05	-100.00	-12.09	62.80	-27.86	
307.69	0.868	42.47	32.21	42.03	37.24	31.44	301.75	13	-2.41	0.666	-10000	-51.93	-100.00	-2.41	62.47	-24.05	
-10000	-10000	30.99	28.36	27.57	26.19	28.08	296.22	12	8.66	0.575	-10.77	-51.38	-100.00	-2.11	62.15	-38.26	
290.91	0.818	25.99	25.44	16.73	13.39	25.35	290.80	13	19.27	0.359	-10000	-57.09	-100.00	19.27	61.83	-37.35	
275.86	0.617	31.47	25.86	30.07	27.40	23.88	285.63	12	4.06	0.619	-10000	-52.07	-100.00	4.06	61.52	-33.88	
271.19	0.815	39.02	32.74	37.85	35.74	30.95	266.66	13	1.63	0.700	-10000	-47.88	-100.00	1.63	60.33	-28.77	
271.19	0.902	48.79	40.91	48.01	44.45	38.03	271.16	13	-2.09	0.816	-10000	-47.66	-100.00	-2.09	60.62	-27.07	
266.67	0.919	48.90	43.27	47.51	44.16	41.54	266.66	13	-0.40	0.781	-5.57	-45.91	-100.00	-5.97	60.33	-26.84	
262.30	0.943	49.22	45.68	46.67	45.91	43.90	262.23	13	5.27	0.825	-9.19	-47.07	-100.00	-3.92	60.04	-26.61	
258.06	0.938	46.38	43.44	43.31	39.88	42.70	258.02	13	7.59	0.737	-6.79	-46.03	-100.00	0.80	59.76	-28.39	
253.97	0.871	44.29	39.98	42.28	36.45	39.53	253.88	13	6.14	0.648	-2.86	-44.39	-100.00	3.27	59.48	-10000	
253.97	0.712	40.91	35.43	39.46	35.98	33.99	249.96	13	-3.84	0.767	-10000	-52.03	-100.00	-3.84	59.21	-10000	
142.86	0.266	40.85	27.94	40.62	31.35	-10000	-10000	0	-9.40	0.507	1.23	-43.64	-100.00	-9.40	-10000	-10000	
179.78	0.579	44.46	26.11	44.40	30.26	10.28	-10000	5	-13.55	0.412	2.44	-41.67	-100.00	-13.55	-10000	-10000	
192.77	0.663	43.68	22.27	43.64	26.18	4.45	-10000	1	-15.11	0.505	9.54	-48.74	-100.00	-15.11	-10000	-10000	
192.77	0.584	40.32	18.65	40.29	21.11	-3.64	-10000	1	-17.04	0.417	3.33	-50.97	-100.00	-19.36	-10000	-10000	
79.21	0.402	41.04	18.66	41.01	21.33	-10000	-10000	1	-14.09	0.579	-5.07	-56.40	-100.00	-24.83	-10000	-10000	
168.42	0.355	42.65	18.86	42.63	23.59	-10000	-10000	1	-17.73	0.531	-8.43	-52.27	-100.00	-34.53	-10000	-10000	
-10000	-10000	41.03	21.45	40.98	23.58	-10000	-10000	1	-17.26	0.433	-3.82	-48.98	-100.00	-21.09	-10000	-10000	
168.42	0.589	36.05	21.51	35.89	22.41	-10000	-10000	1	1.10	0.493	0.35	-52.09	0.43	1.10	-10000	-10000	
46.51	0.863	28.37	17.72	27.98	14.79	15.26	-10000	1	9.57	0.487	4.48	-59.51	-100.00	9.57	-10000	-10000	
202.53	0.797	24.15	23.57	15.10	6.88	23.49	-10000	1	20.72	0.274	-10000	-61.87	-100.00	20.72	-10000	-10000	
202.53	0.968	28.86	28.85	2.88	4.54	28.83	202.44	13	26.02	0.576	-10000	-73.07	-100.00	26.02	55.56	-10000	
200.00	0.986	30.16	30.15	4.11	4.99	30.14	199.89	13	28.80	0.597	0.64	-85.50	-100.00	28.80	55.34	-10000	
195.12	0.990	30.23	30.21	4.94	6.51	30.20	195.09	13	29.10	0.661	1.92	-74.99	-100.00	29.10	54.92	-10000	
192.77	0.987	29.53	29.44	12.90	11.63	29.39	192.74	13	26.13	0.490	3.33	-62.77	-100.00	26.13	54.71	-28.09	
190.48	0.991	28.61	28.48	13.11	12.44	28.42	188.23	13	23.08	0.547	4.10	-64.02	-100.00	23.08	54.30	-27.00	
188.24	0.935	26.94	26.87	8.70	7.63	26.84	188.23	13	22.64	0.642	1.45	-72.92	-100.00	22.64	54.30	-24.09	
186.05	0.922	26.56	26.45	10.36	8.20	26.42	183.83	13	20.69	0.634	-0.58	-83.35	-100.00	20.10	53.89	-22.82	
181.82	0.982	26.90	26.80	10.65	8.10	26.77	181.71	13	20.82	0.640	-0.34	-78.90	-100.00	20.48	53.69	-15.03	
181.82	0.971	27.36	27.09	15.16	13.11	27.00	179.73	13	17.36	0.619	-0.61	-66.36	-100.00	16.75	53.50	-6.02	
179.78	0.974	30.62	29.14	25.23	25.20	28.09	177.77	13	6.76	0.786	-2.20	-64.29	-100.00	4.56	53.31	5.64	
179.78	0.962	33.61	31.83	28.88	31.22	28.79	179.73	13	-2.17	0.815	-2.39	-60.80	-100.00	-4.55	53.50	9.24	
181.82	0.950	35.82	34.25	30.65	33.90	29.86	181.71	13	-5.89	0.810	-2.00	-57.65	-100.00	-7.89	53.69	16.84	
183.91	0.957	37.73	36.27	32.29	35.90	31.09	183.83	13	-8.15	0.831	-1.63	-57.69	-100.00	-9.78	53.89	20.30	
186.05	0.965	39.05	37.50	33.81	37.32	32.25	183.83	13	-7.82	0.854	-2.71	-58.81	-100.00	-10.53	53.89	18.09	
188.24	0.940	39.41	37.85	34.20	37.67	33.18	188.23	13	-5.77	0.848	-3.44	-57.76	-100.00	-9.21	54.30	19.66	
190.48	0.973	40.61	38.79	35.97	38.74	34.19	190.42	13	-4.92	0.895	-3.85	-63.12	-100.00	-8.77	54.50	21.15	
190.48	0.940	40.67	38.63	36.41	38.93	34.35	190.42	13	-5.00	0.870	-4.08	-59.22	-100.00	-9.08	54.50	22.69	
195.12	0.885	38.81	36.40	35.11	36.18	33.42	195.09	13	0.80	0.857	-5.42	-60.31	-100.00	-4.62	54.92	19.41	
197.53	0.961	38.61	36.22	34.87	35.51	33.85	197.48	13	0.97	0.851	-5.75	-60.27	-100.00	-4.78	55.13	19.26	
200.00	0.971	37.79	35.66	33.66	34.38	34.08	199.89	13	2.42	0.822	-5.15	-68.50	-100.00	-2.73	55.34	19.99	
200.00	0.974	37.64	35.95	32.74	33.27	34.46	199.89	13	4.33	0.819	-6.39	-69.61	-100.00	-2.07	55.34	14.73	
202.53	0.955	37.41	35.65	32.64	32.57	34.58	202.44	13	6.11	0.816	-7.05	-59.54	0.91	-0.94	55.56	14.17	fr
202.53	0.963	38.11	35.84	34.20	34.20	34.46	205.03	13	5.73	0.822	-7.19	-58.49	-100.00	-1.47	55.78	12.95	fr
205.13	0.970	37.65	35.70	33.23	33.32	34.41	205.03	13	5.58	0.812	-6.54	-58.42	-100.00	-0.95	55.78	13.74	fr
207.79	0.956	37.21	35.52	32.30	31.94	34.41	207.77	13	4.29	0.808	-5.42	-59.43	-100.00	-1.13	56.01	11.33	fr
207.79	0.959	36.09	34.50	30.94	28.47	33.97	207.77	13	10.06	0.794	-5.00	-61.68	0.65	5.06	56.01	-4.88	fr
210.53	0.969	34.53	33.84	26.24	24.49	33.47	210.43	13	11.94	0.669	-4.64	-63.97	-100.00	7.29	56.23	-13.08	fr
210.53	0.910	34.48	33.39	27.91	27.71	32.32	210.43	13	4.91	0.755	-3.58	-59.43	-100.00	1.33	56.23	-25.44	fr
205.13	0.775	32.62	31.02	27.50	30.67	24.93	185.96	13	2.53	0.771	2.19	-57.64	-100.00	2.53	54.09	-10000	
188.24	0.786	27.15	25.64	21.83	22.93	23.69	190.42	13	2.05	0.724	0.07	-62.14	-100.00	2.05	54.50	-10000	
-10000	-10000	9.69	8.30	3.97	8.95	-10000	-10000	1	0.78	0.780	-10000	-80.06	-100.00	0.78	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
