#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
242.42	0.744	49.52	42.41	48.58	47.30	35.89	238.81	13	-8.16	0.840	-5.21	-47.24	-100.00	-13.36	58.42	-10000	
246.15	0.835	53.98	47.03	53.00	51.13	41.99	242.42	13	-6.38	0.845	-9.31	-43.96	-100.00	-15.69	58.68	-10000	
250.00	0.866	56.01	49.69	54.85	54.07	45.19	249.96	13	-5.56	0.921	-13.53	-52.73	-100.00	-19.09	59.21	35.98	
253.97	0.885	56.33	50.19	55.11	53.21	47.12	253.88	13	-1.93	0.899	-14.31	-49.32	-100.00	-16.24	59.48	19.20	
253.97	0.921	55.56	50.60	53.89	53.96	47.62	258.02	13	-4.44	0.857	-13.21	-42.53	-100.00	-17.65	59.76	20.57	
258.06	0.921	55.08	50.96	52.95	53.30	47.95	258.02	13	-3.90	0.865	-12.12	-44.19	-100.00	-16.02	59.76	19.00	
258.06	0.917	53.86	51.63	49.91	51.29	49.07	258.02	13	-1.36	0.846	-10.39	-43.91	-100.00	-11.75	59.76	16.26	
258.06	0.884	51.63	50.67	44.61	49.55	46.80	266.66	13	-0.93	0.790	-8.03	-40.27	-100.00	-8.95	60.33	14.28	
262.30	0.879	45.00	44.50	35.37	41.16	42.33	271.16	12	2.90	0.625	-10000	-38.58	-100.00	2.90	60.62	14.46	
266.67	0.996	42.58	42.50	25.25	26.13	42.43	262.23	13	13.79	0.632	-10000	-63.77	-100.00	13.79	60.04	10.61	
266.67	0.996	43.18	43.11	25.23	38.14	41.46	266.66	13	14.85	0.612	-10000	-49.28	-100.00	14.85	60.33	-5.74	
266.67	0.973	41.84	41.78	23.10	34.54	40.90	266.66	13	14.78	0.610	-10000	-44.52	-100.00	14.78	60.33	-3.93	
266.67	0.978	41.76	41.62	26.70	31.66	41.19	266.66	13	16.53	0.704	-10000	-62.03	-100.00	16.53	60.33	7.88	
266.67	0.900	43.28	43.03	30.75	34.42	42.44	258.02	13	19.25	0.568	-10000	-42.87	-100.00	19.25	59.76	8.21	
271.19	0.916	47.32	46.95	36.43	37.69	46.56	266.66	13	12.21	0.722	-2.66	-47.25	-100.00	9.54	60.33	8.43	
271.19	0.948	50.65	50.41	37.94	35.24	50.39	271.16	13	12.75	0.776	-8.05	-56.50	-100.00	4.70	60.62	12.35	
271.19	0.963	51.87	51.65	38.87	32.55	51.63	271.16	13	20.69	0.688	-9.87	-50.39	-100.00	10.82	60.62	12.87	
271.19	0.953	53.89	53.54	42.81	31.90	53.53	271.16	13	19.48	0.730	-13.74	-53.55	-100.00	5.74	60.62	9.00	
271.19	0.944	52.56	52.26	40.82	33.00	52.26	275.75	13	19.22	0.816	-13.22	-59.11	-100.00	6.01	60.91	5.93	
275.86	0.886	47.35	46.88	37.43	28.38	46.88	275.75	13	16.50	0.754	-7.37	-58.69	-100.00	9.14	60.91	-10000	
275.86	0.827	42.46	41.86	33.56	29.74	41.61	271.16	13	20.13	0.539	-1.45	-46.42	-100.00	18.67	60.62	-10000	
266.67	0.726	44.49	36.79	43.68	30.53	36.03	262.23	12	8.64	0.531	-0.23	-45.33	-100.00	8.41	60.04	-10000	
